id,name,score1,score2
1,Student_1,58,77
2,Student_2,80,61
3,Student_3,81,56
4,Student_4,76,92
5,Student_5,68,94
6,Student_6,84,66
7,Student_7,86,82
8,Student_8,53,80
9,Student_9,74,51
10,Student_10,68,89
11,Student_11,85,65
12,Student_12,77,60
13,Student_13,76,91
14,Student_14,95,79
15,Student_15,78,53
16,Student_16,90,82
17,Student_17,53,82
18,Student_18,53,99
19,Student_19,76,52
20,Student_20,83,89
21,Student_21,83,66
22,Student_22,100,62
23,Student_23,71,51
24,Student_24,60,75
25,Student_25,72,83
26,Student_26,61,71
27,Student_27,61,58
28,Student_28,57,86
29,Student_29,80,57
30,Student_30,52,69
31,Student_31,90,96
32,Student_32,79,59
33,Student_33,72,97
34,Student_34,77,65
35,Student_35,51,97
36,Student_36,76,75
37,Student_37,69,85
38,Student_38,57,89
39,Student_39,51,70
40,Student_40,64,53
41,Student_41,77,77
42,Student_42,78,57
43,Student_43,83,76
44,Student_44,69,86
45,Student_45,64,55
46,Student_46,61,86
47,Student_47,58,96
48,Student_48,91,92
49,Student_49,72,60
50,Student_50,90,83
51,Student_51,68,97
52,Student_52,77,59
53,Student_53,94,91
54,Student_54,74,64
55,Student_55,91,83
56,Student_56,93,51
57,Student_57,83,65
58,Student_58,95,59
59,Student_59,66,65
60,Student_60,82,55
61,Student_61,81,92
62,Student_62,96,90
63,Student_63,93,69
64,Student_64,67,78
65,Student_65,56,59
66,Student_66,81,90
67,Student_67,60,87
68,Student_68,77,83
69,Student_69,60,80
70,Student_70,59,89
71,Student_71,76,72
72,Student_72,62,57
73,Student_73,84,66
74,Student_74,74,92
75,Student_75,60,100
76,Student_76,97,99
77,Student_77,57,99
78,Student_78,98,95
79,Student_79,75,78
80,Student_80,70,79
81,Student_81,77,82
82,Student_82,52,66
83,Student_83,59,56
84,Student_84,75,62
85,Student_85,77,92
86,Student_86,75,100
87,Student_87,60,65
88,Student_88,88,52
89,Student_89,89,95
90,Student_90,59,84
91,Student_91,78,72
92,Student_92,57,87
93,Student_93,96,81
94,Student_94,63,57
95,Student_95,53,88
96,Student_96,77,65
97,Student_97,97,56
98,Student_98,84,56
99,Student_99,94,52
100,Student_100,90,55
101,Student_101,63,99
102,Student_102,67,54
103,Student_103,51,98
104,Student_104,52,65
105,Student_105,97,59
106,Student_106,56,97
107,Student_107,92,71
108,Student_108,56,100
109,Student_109,68,77
110,Student_110,63,79
111,Student_111,98,53
112,Student_112,75,88
113,Student_113,88,91
114,Student_114,58,73
115,Student_115,64,72
116,Student_116,82,67
117,Student_117,78,72
118,Student_118,73,94
119,Student_119,89,52
120,Student_120,73,77
121,Student_121,83,82
122,Student_122,90,61
123,Student_123,94,80
124,Student_124,87,59
125,Student_125,83,54
126,Student_126,71,74
127,Student_127,79,92
128,Student_128,79,71
129,Student_129,56,99
130,Student_130,72,81
131,Student_131,96,70
132,Student_132,56,52
133,Student_133,62,94
134,Student_134,94,68
135,Student_135,66,89
136,Student_136,87,68
137,Student_137,61,56
138,Student_138,73,69
139,Student_139,78,76
140,Student_140,60,99
141,Student_141,71,60
142,Student_142,90,60
143,Student_143,76,84
144,Student_144,80,50
145,Student_145,84,95
146,Student_146,53,99
147,Student_147,65,72
148,Student_148,67,62
149,Student_149,95,81
150,Student_150,79,58
151,Student_151,72,80
152,Student_152,100,63
153,Student_153,86,95
154,Student_154,72,62
155,Student_155,65,51
156,Student_156,69,75
157,Student_157,75,53
158,Student_158,79,63
159,Student_159,88,77
160,Student_160,58,91
161,Student_161,63,54
162,Student_162,61,86
163,Student_163,74,92
164,Student_164,74,55
165,Student_165,88,66
166,Student_166,70,76
167,Student_167,86,90
168,Student_168,67,64
169,Student_169,62,60
170,Student_170,64,54
171,Student_171,91,87
172,Student_172,84,58
173,Student_173,95,91
174,Student_174,96,63
175,Student_175,57,61
176,Student_176,91,95
177,Student_177,64,52
178,Student_178,81,79
179,Student_179,64,96
180,Student_180,85,84
181,Student_181,86,68
182,Student_182,93,85
183,Student_183,72,63
184,Student_184,68,65
185,Student_185,69,85
186,Student_186,79,55
187,Student_187,92,85
188,Student_188,79,85
189,Student_189,80,50
190,Student_190,79,67
191,Student_191,84,88
192,Student_192,82,89
193,Student_193,84,79
194,Student_194,67,86
195,Student_195,83,89
196,Student_196,55,69
197,Student_197,74,87
198,Student_198,55,83
199,Student_199,64,78
200,Student_200,73,57
201,Student_201,60,61
202,Student_202,65,74
203,Student_203,60,54
204,Student_204,57,100
205,Student_205,91,51
206,Student_206,52,93
207,Student_207,60,52
208,Student_208,73,98
209,Student_209,66,79
210,Student_210,80,67
211,Student_211,75,99
212,Student_212,83,87
213,Student_213,70,67
214,Student_214,68,93
215,Student_215,74,56
216,Student_216,58,54
217,Student_217,87,87
218,Student_218,68,93
219,Student_219,59,100
220,Student_220,67,73
221,Student_221,71,67
222,Student_222,84,89
223,Student_223,74,95
224,Student_224,54,80
225,Student_225,62,87
226,Student_226,64,54
227,Student_227,63,52
228,Student_228,64,63
229,Student_229,76,92
230,Student_230,92,54
231,Student_231,91,64
232,Student_232,92,86
233,Student_233,99,94
234,Student_234,92,72
235,Student_235,99,68
236,Student_236,79,56
237,Student_237,93,51
238,Student_238,64,72
239,Student_239,92,92
240,Student_240,69,69
241,Student_241,99,85
242,Student_242,82,54
243,Student_243,100,89
244,Student_244,50,68
245,Student_245,81,52
246,Student_246,79,58
247,Student_247,51,52
248,Student_248,74,57
249,Student_249,59,73
250,Student_250,72,54
251,Student_251,71,76
252,Student_252,67,69
253,Student_253,91,51
254,Student_254,97,59
255,Student_255,98,75
256,Student_256,58,81
257,Student_257,62,75
258,Student_258,57,50
259,Student_259,50,69
260,Student_260,72,81
261,Student_261,60,72
262,Student_262,75,97
263,Student_263,100,57
264,Student_264,99,51
265,Student_265,81,50
266,Student_266,55,65
267,Student_267,67,98
268,Student_268,68,91
269,Student_269,55,62
270,Student_270,59,71
271,Student_271,61,82
272,Student_272,64,92
273,Student_273,98,66
274,Student_274,66,75
275,Student_275,54,52
276,Student_276,61,58
277,Student_277,99,70
278,Student_278,91,58
279,Student_279,70,62
280,Student_280,61,93
281,Student_281,56,95
282,Student_282,89,68
283,Student_283,62,52
284,Student_284,59,51
285,Student_285,85,70
286,Student_286,73,54
287,Student_287,68,93
288,Student_288,62,75
289,Student_289,61,63
290,Student_290,79,62
291,Student_291,77,50
292,Student_292,83,84
293,Student_293,66,86
294,Student_294,82,99
295,Student_295,92,62
296,Student_296,59,61
297,Student_297,63,59
298,Student_298,55,50
299,Student_299,67,73
300,Student_300,66,73
301,Student_301,98,65
302,Student_302,51,100
303,Student_303,90,53
304,Student_304,71,68
305,Student_305,50,80
306,Student_306,87,54
307,Student_307,88,59
308,Student_308,94,53
309,Student_309,81,64
310,Student_310,80,98
311,Student_311,76,84
312,Student_312,72,75
313,Student_313,58,85
314,Student_314,60,85
315,Student_315,58,65
316,Student_316,90,66
317,Student_317,93,71
318,Student_318,79,61
319,Student_319,67,69
320,Student_320,76,74
321,Student_321,69,71
322,Student_322,51,50
323,Student_323,84,58
324,Student_324,95,81
325,Student_325,98,93
326,Student_326,93,83
327,Student_327,87,57
328,Student_328,85,73
329,Student_329,66,55
330,Student_330,62,96
331,Student_331,90,75
332,Student_332,72,65
333,Student_333,81,94
334,Student_334,79,89
335,Student_335,82,89
336,Student_336,74,53
337,Student_337,65,69
338,Student_338,50,81
339,Student_339,59,55
340,Student_340,57,100
341,Student_341,50,76
342,Student_342,89,88
343,Student_343,89,88
344,Student_344,86,82
345,Student_345,60,79
346,Student_346,64,72
347,Student_347,50,67
348,Student_348,99,95
349,Student_349,58,72
350,Student_350,90,92
351,Student_351,66,54
352,Student_352,58,100
353,Student_353,71,99
354,Student_354,80,95
355,Student_355,85,79
356,Student_356,100,83
357,Student_357,80,84
358,Student_358,77,61
359,Student_359,96,82
360,Student_360,79,56
361,Student_361,81,92
362,Student_362,90,92
363,Student_363,60,85
364,Student_364,66,54
365,Student_365,68,89
366,Student_366,86,60
367,Student_367,59,75
368,Student_368,78,54
369,Student_369,69,61
370,Student_370,73,75
371,Student_371,76,54
372,Student_372,65,74
373,Student_373,62,68
374,Student_374,84,84
375,Student_375,50,66
376,Student_376,69,83
377,Student_377,76,81
378,Student_378,100,74
379,Student_379,75,96
380,Student_380,92,53
381,Student_381,76,76
382,Student_382,80,53
383,Student_383,62,84
384,Student_384,50,82
385,Student_385,91,74
386,Student_386,99,72
387,Student_387,86,76
388,Student_388,91,77
389,Student_389,81,93
390,Student_390,88,85
391,Student_391,81,97
392,Student_392,88,88
393,Student_393,78,99
394,Student_394,53,64
395,Student_395,74,66
396,Student_396,95,91
397,Student_397,59,56
398,Student_398,52,81
399,Student_399,78,86
400,Student_400,64,83
401,Student_401,71,96
402,Student_402,90,53
403,Student_403,66,69
404,Student_404,90,72
405,Student_405,99,69
406,Student_406,58,90
407,Student_407,78,90
408,Student_408,68,71
409,Student_409,88,92
410,Student_410,55,99
411,Student_411,68,99
412,Student_412,94,94
413,Student_413,85,95
414,Student_414,76,74
415,Student_415,66,52
416,Student_416,85,99
417,Student_417,97,91
418,Student_418,73,97
419,Student_419,59,68
420,Student_420,66,93
421,Student_421,62,95
422,Student_422,95,71
423,Student_423,67,85
424,Student_424,64,99
425,Student_425,97,51
426,Student_426,64,50
427,Student_427,79,81
428,Student_428,77,95
429,Student_429,95,84
430,Student_430,53,85
431,Student_431,65,66
432,Student_432,57,92
433,Student_433,72,81
434,Student_434,66,99
435,Student_435,88,65
436,Student_436,52,82
437,Student_437,88,90
438,Student_438,78,92
439,Student_439,68,53
440,Student_440,91,56
441,Student_441,55,67
442,Student_442,90,71
443,Student_443,70,89
444,Student_444,79,81
445,Student_445,74,56
446,Student_446,63,60
447,Student_447,91,88
448,Student_448,87,83
449,Student_449,95,60
450,Student_450,75,64
451,Student_451,81,55
452,Student_452,82,89
453,Student_453,55,69
454,Student_454,50,98
455,Student_455,50,72
456,Student_456,72,80
457,Student_457,93,94
458,Student_458,94,55
459,Student_459,59,58
460,Student_460,100,89
461,Student_461,95,78
462,Student_462,65,63
463,Student_463,73,94
464,Student_464,99,63
465,Student_465,72,82
466,Student_466,84,65
467,Student_467,50,100
468,Student_468,89,75
469,Student_469,76,59
470,Student_470,98,83
471,Student_471,83,59
472,Student_472,81,66
473,Student_473,79,89
474,Student_474,68,87
475,Student_475,58,55
476,Student_476,51,59
477,Student_477,53,94
478,Student_478,67,77
479,Student_479,54,87
480,Student_480,58,54
481,Student_481,69,63
482,Student_482,67,89
483,Student_483,79,76
484,Student_484,96,75
485,Student_485,76,67
486,Student_486,50,80
487,Student_487,83,70
488,Student_488,95,90
489,Student_489,87,59
490,Student_490,70,51
491,Student_491,56,82
492,Student_492,51,62
493,Student_493,50,73
494,Student_494,95,69
495,Student_495,83,99
496,Student_496,94,89
497,Student_497,90,67
498,Student_498,68,73
499,Student_499,83,69
500,Student_500,80,64
501,Student_501,64,88
502,Student_502,52,70
503,Student_503,83,72
504,Student_504,51,85
505,Student_505,73,99
506,Student_506,59,77
507,Student_507,61,70
508,Student_508,57,85
509,Student_509,100,99
510,Student_510,56,95
511,Student_511,51,57
512,Student_512,68,78
513,Student_513,99,68
514,Student_514,72,98
515,Student_515,50,78
516,Student_516,60,95
517,Student_517,55,69
518,Student_518,83,70
519,Student_519,82,70
520,Student_520,59,94
521,Student_521,63,55
522,Student_522,81,65
523,Student_523,95,70
524,Student_524,93,64
525,Student_525,70,80
526,Student_526,71,98
527,Student_527,70,60
528,Student_528,78,83
529,Student_529,91,70
530,Student_530,81,96
531,Student_531,59,66
532,Student_532,83,99
533,Student_533,80,55
534,Student_534,54,99
535,Student_535,80,81
536,Student_536,87,56
537,Student_537,97,67
538,Student_538,67,70
539,Student_539,64,100
540,Student_540,67,85
541,Student_541,92,72
542,Student_542,76,63
543,Student_543,98,58
544,Student_544,93,57
545,Student_545,52,86
546,Student_546,88,58
547,Student_547,77,68
548,Student_548,92,85
549,Student_549,75,100
550,Student_550,82,97
551,Student_551,99,50
552,Student_552,61,94
553,Student_553,92,78
554,Student_554,73,63
555,Student_555,62,88
556,Student_556,87,53
557,Student_557,58,67
558,Student_558,70,82
559,Student_559,59,65
560,Student_560,71,97
561,Student_561,59,80
562,Student_562,99,60
563,Student_563,94,80
564,Student_564,94,63
565,Student_565,64,50
566,Student_566,80,75
567,Student_567,62,87
568,Student_568,76,73
569,Student_569,76,82
570,Student_570,57,77
571,Student_571,60,84
572,Student_572,59,79
573,Student_573,71,62
574,Student_574,89,74
575,Student_575,79,93
576,Student_576,92,58
577,Student_577,78,90
578,Student_578,58,54
579,Student_579,61,100
580,Student_580,81,54
581,Student_581,69,86
582,Student_582,76,67
583,Student_583,62,73
584,Student_584,94,77
585,Student_585,59,82
586,Student_586,53,83
587,Student_587,62,97
588,Student_588,92,85
589,Student_589,70,90
590,Student_590,58,90
591,Student_591,56,58
592,Student_592,57,58
593,Student_593,61,90
594,Student_594,87,96
595,Student_595,56,72
596,Student_596,93,53
597,Student_597,94,59
598,Student_598,92,71
599,Student_599,56,60
600,Student_600,68,76
601,Student_601,75,78
602,Student_602,99,76
603,Student_603,73,99
604,Student_604,91,94
605,Student_605,90,53
606,Student_606,72,88
607,Student_607,92,93
608,Student_608,60,62
609,Student_609,83,63
610,Student_610,73,60
611,Student_611,79,69
612,Student_612,80,55
613,Student_613,68,98
614,Student_614,63,94
615,Student_615,74,50
616,Student_616,90,67
617,Student_617,83,60
618,Student_618,82,100
619,Student_619,87,61
620,Student_620,65,87
621,Student_621,80,60
